Classifier,FeatureSelection,Balancing,CostSensitive,Index,IFA,Precision_0.5,Recall,F1,MAP,AUC,G_Measure,MCC,PofB10,PofB15,PofB20,PofB25,PofB30,PofB35,PofB40,PofB45,PofB50,PofB55,PofB60,PofB65,PofB70,PofB75,PofB80,PofB85,PofB90,PofB95,PofB100,Average_Pofb,Npofb10,Npofb15,Npofb20,Npofb25,Npofb30,Npofb35,Npofb40,Npofb45,Npofb50,Npofb55,Npofb60,Npofb65,Npofb70,Npofb75,Npofb80,Npofb85,Npofb90,Npofb95,Npofb100,avgNPofB,Popt10,Popt15,Popt20,Popt25,Popt30,Popt35,Popt40,Popt45,Popt50,Popt55,Popt60,Popt65,Popt70,Popt75,Popt80,Popt85,Popt90,Popt95,Popt100,avgNpopt,
IBk,BestFirst(Bi-directional),None,None,1,1,0.3125,0.25,0.2777777777777778,0.3491193908393397,0.6791666666666667,0.37755102040816324,0.022378589813732277,0.15,0.25,0.35,0.35,0.35,0.35,0.45,0.6,0.6,0.6,0.7,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.0,0.40585159662273884,0.15,0.25,0.35,0.35,0.35,0.35,0.45,0.6,0.6,0.6,0.7,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.0,0.5075708268249413,0.25,0.3571428571428572,0.4375,0.4117647058823529,0.38888888888888884,0.368421052631579,0.44999999999999996,0.6,0.6,0.6,0.7,0.5384615384615384,0.375,0.3333333333333336,0.3999999999999999,0.3333333333333336,0.49999999999999944,1.0,1,0.6157894736842104,
IBk,BestFirst(Bi-directional),None,None,10,1,0.5,0.4117647058823529,0.45161290322580644,0.4125896978838155,0.9639119451461566,0.5757975217505932,0.402730546143122,0.35294117647058826,0.4117647058823529,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.5294117647058824,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.7058823529411765,0.7647058823529411,0.8235294117647058,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,0.6117941913607549,0.35294117647058826,0.4117647058823529,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.5294117647058824,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.7058823529411765,0.7647058823529411,0.8235294117647058,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,0.7052631578947368,0.40000000000000013,0.4117647058823529,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.5294117647058824,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.7058823529411765,0.7647058823529411,0.8235294117647058,0.9411764705882353,1.0,1.0,1.0,1.0,1,0.7027863777089783,
IBk,BestFirst(Bi-directional),None,None,11,0,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.6089491730326307,0.9941520467836257,0.7943262411347518,0.6760128955586655,0.8333333333333334,0.8333333333333334,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9824561403508772,0.8333333333333334,0.8333333333333334,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9780701754385964,0.8333333333333334,0.8333333333333334,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.9780701754385964,
IBk,BestFirst(Bi-directional),None,None,12,0,0.6,0.5,0.5454545454545454,0.48379843840370157,0.9519168291098116,0.658682634730539,0.5048764021898857,0.3888888888888889,0.5,0.6111111111111112,0.6666666666666666,0.7222222222222222,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0,1.0,1.0,0.838390092879257,0.3888888888888889,0.5,0.6111111111111112,0.6666666666666666,0.7222222222222222,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0,1.0,1.0,0.8440918472652219,0.4666666666666667,0.5294117647058824,0.6111111111111112,0.6666666666666666,0.7222222222222222,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.875,1.0,1.0,1,0.8421052631578947,
IBk,BestFirst(Bi-directional),None,None,13,0,0.7,0.56,0.6222222222222222,0.6513340720727085,0.9645508982035929,0.7084708470847086,0.5773509123868936,0.64,0.72,0.84,0.84,0.84,0.84,0.84,0.88,0.88,0.92,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.893859649122807,0.64,0.72,0.84,0.84,0.84,0.84,0.84,0.88,0.88,0.92,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9066666666666666,0.6666666666666667,0.72,0.84,0.84,0.84,0.84,0.84,0.88,0.88,0.92,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.9052631578947368,
IBk,BestFirst(Bi-directional),None,None,14,0,0.8571428571428571,0.5714285714285714,0.6857142857142857,0.6831742883981688,0.9894179894179893,0.7243133265513734,0.6732792573271326,0.42857142857142855,0.5238095238095238,0.6190476190476191,0.6666666666666666,0.6666666666666666,0.7619047619047619,0.8095238095238095,0.8095238095238095,0.9047619047619048,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,1.0,1.0,1.0,1.0,1.0,0.8668428036034358,0.42857142857142855,0.5238095238095238,0.6190476190476191,0.6666666666666666,0.6666666666666666,0.7619047619047619,0.8095238095238095,0.8095238095238095,0.9047619047619048,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,1.0,1.0,1.0,1.0,1.0,0.8494374481094378,0.5294117647058822,0.5789473684210527,0.6500000000000001,0.6666666666666666,0.6666666666666666,0.7619047619047619,0.8095238095238095,0.8095238095238095,0.9047619047619048,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,1.0,1.0,1.0,1.0,1,0.8395989974937343,
IBk,BestFirst(Bi-directional),None,None,15,0,0.5789473684210527,0.4583333333333333,0.5116279069767442,0.504560369683837,0.8161487758945386,0.6193569881725804,0.4579018227371033,0.3333333333333333,0.4583333333333333,0.5416666666666666,0.5833333333333334,0.625,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7916666666666666,0.8333333333333334,0.875,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.7274456922357043,0.3333333333333333,0.4583333333333333,0.5416666666666666,0.5833333333333334,0.625,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7916666666666666,0.8333333333333334,0.875,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.7830248575402701,0.47058823529411764,0.5499999999999999,0.5652173913043478,0.5833333333333334,0.625,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7916666666666666,0.8333333333333334,0.875,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1,0.7697368421052632,
IBk,BestFirst(Bi-directional),None,None,16,0,0.8125,0.65,0.7222222222222222,0.662735051172508,0.9864640883977901,0.7826822256046,0.700493184163969,0.6,0.8,0.8,0.85,0.9,0.95,0.95,0.95,0.95,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9437673130193907,0.6,0.8,0.8,0.85,0.9,0.95,0.95,0.95,0.95,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9332409972299168,0.631578947368421,0.8,0.8,0.85,0.9,0.95,0.95,0.95,0.95,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.9315789473684211,
IBk,BestFirst(Bi-directional),None,None,17,0,0.9411764705882353,0.5714285714285714,0.7111111111111111,0.7384669687282941,0.9848111658456484,0.7257472469847929,0.7040690416348895,0.42857142857142855,0.5357142857142857,0.5714285714285714,0.6071428571428571,0.7142857142857143,0.7142857142857143,0.75,0.75,0.75,0.75,0.8214285714285714,0.8214285714285714,0.8928571428571429,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,0.755986438922727,0.42857142857142855,0.5357142857142857,0.5714285714285714,0.6071428571428571,0.7142857142857143,0.7142857142857143,0.75,0.75,0.75,0.75,0.8214285714285714,0.8214285714285714,0.8928571428571429,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,0.8125366138939546,0.631578947368421,0.6818181818181819,0.6399999999999999,0.6538461538461537,0.7142857142857143,0.7142857142857143,0.75,0.75,0.75,0.75,0.8214285714285714,0.8214285714285714,0.8928571428571429,0.8666666666666667,1.0,1.0,1.0,1.0,1,0.7913533834586467,
IBk,BestFirst(Bi-directional),None,None,2,2,0.4444444444444444,0.5333333333333333,0.48484848484848486,0.38181818181818183,0.9222222222222223,0.6504065040650406,0.3434147975799544,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.6,0.7333333333333333,0.8,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.8178137651821862,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.6,0.7333333333333333,0.8,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.8178137651821862,0.5384615384615384,0.5,0.5,0.4666666666666667,0.6,0.7333333333333333,0.8,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1,0.8105263157894737,
IBk,BestFirst(Bi-directional),None,None,3,1,0.030303030303030304,0.5,0.05714285714285714,0.026541640178003815,0.8431372549019608,0.5785123966942148,0.05496451100614554,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.6052631578947368,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.6052631578947368,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1,0.6052631578947368,
IBk,BestFirst(Bi-directional),None,None,4,9,0.125,0.6666666666666666,0.21052631578947367,0.10487012987012986,0.954248366013072,0.7521367521367521,0.24541398451145194,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6578947368421053,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6578947368421053,0.33333333333333326,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1,0.6666666666666666,
IBk,BestFirst(Bi-directional),None,None,5,0,0.5,0.21428571428571427,0.3,0.603030303030303,0.9740973312401884,0.35083056478405317,0.2655425022718972,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.7857142857142857,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7497333076280445,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.7857142857142857,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7703296703296703,0.4,0.3076923076923077,0.4285714285714286,0.4285714285714286,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.7857142857142857,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.7631578947368421,
IBk,BestFirst(Bi-directional),None,None,6,0,0.8461538461538461,0.6470588235294118,0.7333333333333333,0.6501131718523022,0.9807923169267706,0.7793357933579336,0.7024108931618108,0.47058823529411764,0.5882352941176471,0.6470588235294118,0.6470588235294118,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.8235294117647058,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9411764705882353,0.9411764705882353,0.9411764705882353,1.0,1.0,0.8674962292609352,0.47058823529411764,0.5882352941176471,0.6470588235294118,0.6470588235294118,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.8235294117647058,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9411764705882353,0.9411764705882353,0.9411764705882353,1.0,1.0,0.7973638203901361,0.7999999999999999,0.7692307692307693,0.7333333333333334,0.6875,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.8235294117647058,0.8823529411764706,0.8823529411764706,0.8181818181818181,0.875,0.7999999999999999,0.6666666666666667,1.0,1,0.7925696594427244,
IBk,BestFirst(Bi-directional),None,None,7,25,0.0,0.0,0.0,0.0023014959723820483,0.8506493506493507,0.0,-0.04825666562229139,0.0,0.25,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,0.8026315789473685,0.0,0.25,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,0.6842105263157895,0.0,0.25,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1,0.6842105263157895,
IBk,BestFirst(Bi-directional),None,None,8,0,0.16666666666666666,0.375,0.23076923076923078,0.1501310502027862,0.9318910256410255,0.5300751879699249,0.1921583543791679,0.375,0.375,0.75,0.75,0.75,0.75,0.75,0.75,0.875,0.875,0.875,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,0.8355263157894737,0.375,0.375,0.75,0.75,0.75,0.75,0.75,0.75,0.875,0.875,0.875,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,0.8223684210526315,0.375,0.375,0.75,0.75,0.75,0.75,0.75,0.75,0.875,0.875,0.875,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1,0.8223684210526315,
IBk,BestFirst(Bi-directional),None,None,9,0,0.16666666666666666,0.13333333333333333,0.14814814814814814,0.140571293113666,0.9411522633744855,0.2334869431643625,0.07932562752001443,0.13333333333333333,0.4,0.4666666666666667,0.7333333333333333,0.8,0.8,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.7236842105263158,0.13333333333333333,0.4,0.4666666666666667,0.7333333333333333,0.8,0.8,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.7964912280701754,0.1333333333333333,0.4,0.4666666666666667,0.7333333333333333,0.8,0.8,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9333333333333333,0.9333333333333333,1.0,1.0,1,0.7964912280701754,
IBk,BestFirst(Bi-directional),None,SensitiveLearning,1,1,0.30434782608695654,0.35,0.32558139534883723,0.27723203906068355,0.6729166666666667,0.45901639344262296,0.01605144707810256,0.2,0.25,0.25,0.3,0.35,0.35,0.45,0.6,0.6,0.6,0.7,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.0,0.40292762001455174,0.2,0.25,0.25,0.3,0.35,0.35,0.45,0.6,0.6,0.6,0.7,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.0,0.5022818691366027,0.33333333333333337,0.3571428571428572,0.3125,0.3529411764705882,0.38888888888888884,0.368421052631579,0.44999999999999996,0.6,0.6,0.6,0.7,0.5384615384615384,0.375,0.3333333333333336,0.3999999999999999,0.3333333333333336,0.49999999999999944,1.0,1,0.6105263157894737,
